,Duration,Destination,Gender,Age,userID,groupAge,destID,rating
57510,9,THAILAND,0,17,104,14-18,0,4
59385,31,SINGAPORE,0,17,104,14-18,2,7
60226,72,JAPAN,0,17,104,14-18,15,1
39188,41,"KOREA, REPUBLIC OF",1,17,120,14-18,5,1
42025,70,MALAYSIA,1,17,120,14-18,1,1
47544,70,CHINA,1,17,120,14-18,3,2
48614,36,CHINA,1,17,120,14-18,3,2
48793,5,INDONESIA,1,17,120,14-18,11,1
58022,9,SINGAPORE,1,17,120,14-18,2,3
59840,18,SINGAPORE,1,17,120,14-18,2,3
60431,21,SINGAPORE,1,17,120,14-18,2,3
2198,86,"KOREA, REPUBLIC OF",0,18,128,18-35,5,2
10181,23,"KOREA, REPUBLIC OF",0,18,128,18-35,5,2
11638,39,MALAYSIA,0,18,128,18-35,1,2
11905,35,MALAYSIA,0,18,128,18-35,1,2
16755,83,BRUNEI DARUSSALAM,0,18,128,18-35,6,2
19840,56,BRUNEI DARUSSALAM,0,18,128,18-35,6,2
23927,51,CHINA,0,18,128,18-35,3,2
23928,51,CHINA,0,18,128,18-35,3,2
28326,10,SINGAPORE,0,18,128,18-35,2,5
33169,10,HONG KONG,0,18,128,18-35,13,2
36077,8,"TAIWAN, PROVINCE OF CHINA",0,18,128,18-35,16,2
41970,9,HONG KONG,0,18,128,18-35,13,2
46073,91,SINGAPORE,0,18,128,18-35,2,5
47590,14,SINGAPORE,0,18,128,18-35,2,5
54494,22,NEW ZEALAND,0,18,128,18-35,7,1
55730,27,SINGAPORE,0,18,128,18-35,2,5
56454,82,THAILAND,0,18,128,18-35,0,2
56659,7,THAILAND,0,18,128,18-35,0,2
60045,4,SINGAPORE,0,18,128,18-35,2,5
62362,7,"TAIWAN, PROVINCE OF CHINA",0,18,128,18-35,16,2
3291,76,AUSTRALIA,1,18,148,18-35,9,2
7084,21,THAILAND,1,18,148,18-35,0,4
15283,23,AUSTRALIA,1,18,148,18-35,9,2
22854,47,NEPAL,1,18,148,18-35,17,1
29410,20,"KOREA, REPUBLIC OF",1,18,148,18-35,5,1
33029,4,SINGAPORE,1,18,148,18-35,2,9
34929,30,SINGAPORE,1,18,148,18-35,2,9
36393,30,SINGAPORE,1,18,148,18-35,2,9
37904,34,CHINA,1,18,148,18-35,3,1
38235,47,BRUNEI DARUSSALAM,1,18,148,18-35,6,2
38236,34,BRUNEI DARUSSALAM,1,18,148,18-35,6,2
40534,14,HONG KONG,1,18,148,18-35,13,1
42819,6,SINGAPORE,1,18,148,18-35,2,9
43383,30,SINGAPORE,1,18,148,18-35,2,9
45549,5,SINGAPORE,1,18,148,18-35,2,9
55154,29,SINGAPORE,1,18,148,18-35,2,9
56076,15,THAILAND,1,18,148,18-35,0,4
56126,12,SINGAPORE,1,18,148,18-35,2,9
56840,17,MALAYSIA,1,18,148,18-35,1,1
59814,31,THAILAND,1,18,148,18-35,0,4
60010,5,THAILAND,1,18,148,18-35,0,4
60251,9,SINGAPORE,1,18,148,18-35,2,9
2514,31,"TAIWAN, PROVINCE OF CHINA",0,19,170,18-35,16,1
8039,79,MALAYSIA,0,19,170,18-35,1,3
9466,92,THAILAND,0,19,170,18-35,0,3
10580,14,SINGAPORE,0,19,170,18-35,2,10
20659,85,UNITED STATES,0,19,170,18-35,14,1
21657,62,BRUNEI DARUSSALAM,0,19,170,18-35,6,2
24552,42,SINGAPORE,0,19,170,18-35,2,10
25929,55,"KOREA, REPUBLIC OF",0,19,170,18-35,5,2
29591,22,THAILAND,0,19,170,18-35,0,3
33162,41,CHINA,0,19,170,18-35,3,2
34535,10,CHINA,0,19,170,18-35,3,2
37705,7,BRUNEI DARUSSALAM,0,19,170,18-35,6,2
38465,40,IRELAND,0,19,170,18-35,18,1
39166,76,HONG KONG,0,19,170,18-35,13,1
39442,27,JAPAN,0,19,170,18-35,15,2
40763,23,SINGAPORE,0,19,170,18-35,2,10
41999,26,THAILAND,0,19,170,18-35,0,3
42822,4,SINGAPORE,0,19,170,18-35,2,10
43000,17,"KOREA, REPUBLIC OF",0,19,170,18-35,5,2
47977,74,MALAYSIA,0,19,170,18-35,1,3
55562,33,SINGAPORE,0,19,170,18-35,2,10
55570,37,SINGAPORE,0,19,170,18-35,2,10
57346,55,SINGAPORE,0,19,170,18-35,2,10
57505,32,MALAYSIA,0,19,170,18-35,1,3
58788,5,SINGAPORE,0,19,170,18-35,2,10
60864,13,JAPAN,0,19,170,18-35,15,2
62575,48,SINGAPORE,0,19,170,18-35,2,10
63105,9,SINGAPORE,0,19,170,18-35,2,10
10358,87,THAILAND,1,19,198,18-35,0,4
21658,58,BRUNEI DARUSSALAM,1,19,198,18-35,6,4
24734,32,INDONESIA,1,19,198,18-35,11,2
25627,12,BRUNEI DARUSSALAM,1,19,198,18-35,6,4
28104,8,SINGAPORE,1,19,198,18-35,2,7
31435,44,SINGAPORE,1,19,198,18-35,2,7
34493,76,"KOREA, REPUBLIC OF",1,19,198,18-35,5,1
34533,56,INDONESIA,1,19,198,18-35,11,2
34534,2,ANGOLA,1,19,198,18-35,19,1
34536,2,BELARUS,1,19,198,18-35,20,1
36201,36,UNITED STATES,1,19,198,18-35,14,5
36679,39,CANADA,1,19,198,18-35,21,2
36861,61,UNITED STATES,1,19,198,18-35,14,5
38417,12,UNITED STATES,1,19,198,18-35,14,5
38491,42,SINGAPORE,1,19,198,18-35,2,7
39240,61,UNITED STATES,1,19,198,18-35,14,5
39256,33,SINGAPORE,1,19,198,18-35,2,7
41165,3,UNITED STATES,1,19,198,18-35,14,5
42213,75,SINGAPORE,1,19,198,18-35,2,7
42381,16,SINGAPORE,1,19,198,18-35,2,7
44006,40,BRUNEI DARUSSALAM,1,19,198,18-35,6,4
44007,11,BRUNEI DARUSSALAM,1,19,198,18-35,6,4
44108,50,THAILAND,1,19,198,18-35,0,4
44334,19,CANADA,1,19,198,18-35,21,2
44555,79,JAPAN,1,19,198,18-35,15,2
45049,47,MALAYSIA,1,19,198,18-35,1,1
45461,15,THAILAND,1,19,198,18-35,0,4
47162,62,THAILAND,1,19,198,18-35,0,4
47462,88,JAPAN,1,19,198,18-35,15,2
47775,66,SINGAPORE,1,19,198,18-35,2,7
47776,85,SINGAPORE,1,19,228,18-35,2,9
50165,30,MYANMAR,1,19,228,18-35,22,1
50685,32,BRUNEI DARUSSALAM,1,19,228,18-35,6,1
51563,65,VIET NAM,1,19,228,18-35,23,1
52477,65,SINGAPORE,1,19,228,18-35,2,9
52870,63,SINGAPORE,1,19,228,18-35,2,9
52882,83,SAUDI ARABIA,1,19,228,18-35,24,1
53709,6,SINGAPORE,1,19,228,18-35,2,9
54179,38,SINGAPORE,1,19,228,18-35,2,9
54732,23,THAILAND,1,19,228,18-35,0,4
54887,49,SINGAPORE,1,19,228,18-35,2,9
55331,22,INDIA,1,19,228,18-35,12,1
57493,18,CHINA,1,19,228,18-35,3,1
58180,14,THAILAND,1,19,228,18-35,0,4
58479,30,UNITED STATES,1,19,228,18-35,14,2
58848,9,"KOREA, REPUBLIC OF",1,19,228,18-35,5,2
58865,34,UNITED STATES,1,19,228,18-35,14,2
58961,5,SINGAPORE,1,19,228,18-35,2,9
58966,11,SINGAPORE,1,19,228,18-35,2,9
59585,11,THAILAND,1,19,228,18-35,0,4
61627,85,THAILAND,1,19,228,18-35,0,4
61744,2,MALAYSIA,1,19,228,18-35,1,1
62042,14,"KOREA, REPUBLIC OF",1,19,228,18-35,5,2
63069,8,SINGAPORE,1,19,228,18-35,2,9
41,36,"TAIWAN, PROVINCE OF CHINA",0,20,252,18-35,16,2
71,36,"TAIWAN, PROVINCE OF CHINA",0,20,252,18-35,16,2
351,27,HONG KONG,0,20,252,18-35,13,1
576,28,JAPAN,0,20,252,18-35,15,1
1042,7,THAILAND,0,20,252,18-35,0,3
1472,11,CANADA,0,20,252,18-35,21,2
2011,33,THAILAND,0,20,252,18-35,0,3
2408,75,UNITED STATES,0,20,252,18-35,14,3
2902,8,SINGAPORE,0,20,252,18-35,2,8
3854,18,MALAYSIA,0,20,252,18-35,1,4
4162,3,MALAYSIA,0,20,252,18-35,1,4
4441,47,SINGAPORE,0,20,252,18-35,2,8
5051,20,SINGAPORE,0,20,252,18-35,2,8
5054,17,PHILIPPINES,0,20,252,18-35,8,2
5192,4,UNITED STATES,0,20,252,18-35,14,3
5796,11,SINGAPORE,0,20,252,18-35,2,8
6034,46,INDONESIA,0,20,252,18-35,11,1
6558,29,AUSTRALIA,0,20,252,18-35,9,2
6567,14,SINGAPORE,0,20,252,18-35,2,8
7208,3,SINGAPORE,0,20,252,18-35,2,8
7286,4,MALAYSIA,0,20,252,18-35,1,4
7596,6,PHILIPPINES,0,20,252,18-35,8,2
7784,47,SINGAPORE,0,20,252,18-35,2,8
8063,21,UNITED STATES,0,20,252,18-35,14,3
8113,33,SINGAPORE,0,20,252,18-35,2,8
9779,13,MALAYSIA,0,20,252,18-35,1,4
9992,5,CANADA,0,20,252,18-35,21,2
10745,14,AUSTRALIA,0,20,252,18-35,9,2
10806,16,THAILAND,0,20,252,18-35,0,3
11520,2,MEXICO,0,20,252,18-35,25,1
12324,5,INDONESIA,0,20,282,18-35,11,4
13611,30,INDONESIA,0,20,282,18-35,11,4
14642,78,THAILAND,0,20,282,18-35,0,5
15642,25,SINGAPORE,0,20,282,18-35,2,8
16060,9,THAILAND,0,20,282,18-35,0,5
16258,88,UNITED STATES,0,20,282,18-35,14,5
16495,8,PERU,0,20,282,18-35,26,1
17863,9,INDONESIA,0,20,282,18-35,11,4
17892,35,UNITED STATES,0,20,282,18-35,14,5
18901,21,INDONESIA,0,20,282,18-35,11,4
19578,7,THAILAND,0,20,282,18-35,0,5
19654,7,SINGAPORE,0,20,282,18-35,2,8
19711,6,SINGAPORE,0,20,282,18-35,2,8
19761,13,MALAYSIA,0,20,282,18-35,1,1
19824,39,PHILIPPINES,0,20,282,18-35,8,1
20930,61,SINGAPORE,0,20,282,18-35,2,8
21595,82,UNITED STATES,0,20,282,18-35,14,5
21640,2,SINGAPORE,0,20,282,18-35,2,8
21831,72,JAPAN,0,20,282,18-35,15,1
21854,25,THAILAND,0,20,282,18-35,0,5
22063,18,HONG KONG,0,20,282,18-35,13,1
23333,36,SINGAPORE,0,20,282,18-35,2,8
25055,49,UNITED STATES,0,20,282,18-35,14,5
26772,28,UNITED STATES,0,20,282,18-35,14,5
27732,70,UNITED KINGDOM,0,20,282,18-35,27,1
28193,34,THAILAND,0,20,282,18-35,0,5
28908,44,AUSTRALIA,0,20,282,18-35,9,1
28910,73,CANADA,0,20,282,18-35,21,1
31039,19,SINGAPORE,0,20,282,18-35,2,8
32032,16,SINGAPORE,0,20,282,18-35,2,8
32204,17,SINGAPORE,0,20,312,18-35,2,8
40061,55,SINGAPORE,0,20,312,18-35,2,8
42188,8,SINGAPORE,0,20,312,18-35,2,8
44938,83,SINGAPORE,0,20,312,18-35,2,8
45304,85,THAILAND,0,20,312,18-35,0,6
45695,26,CHINA,0,20,312,18-35,3,1
47160,62,THAILAND,0,20,312,18-35,0,6
53749,42,BRUNEI DARUSSALAM,0,20,312,18-35,6,2
54210,72,SINGAPORE,0,20,312,18-35,2,8
55151,34,THAILAND,0,20,312,18-35,0,6
56847,25,THAILAND,0,20,312,18-35,0,6
58780,7,SINGAPORE,0,20,312,18-35,2,8
59557,30,SINGAPORE,0,20,312,18-35,2,8
60383,72,BRUNEI DARUSSALAM,0,20,312,18-35,6,2
61626,85,THAILAND,0,20,312,18-35,0,6
61963,83,THAILAND,0,20,312,18-35,0,6
62793,11,SINGAPORE,0,20,312,18-35,2,8
3051,45,UNITED STATES,1,20,329,18-35,14,4
3583,8,MALAYSIA,1,20,329,18-35,1,2
3917,56,THAILAND,1,20,329,18-35,0,9
3918,56,THAILAND,1,20,329,18-35,0,9
4182,55,THAILAND,1,20,329,18-35,0,9
4183,55,THAILAND,1,20,329,18-35,0,9
5434,24,SINGAPORE,1,20,329,18-35,2,9
6173,32,"TAIWAN, PROVINCE OF CHINA",1,20,329,18-35,16,1
7457,11,VIET NAM,1,20,329,18-35,23,2
9254,40,MYANMAR,1,20,329,18-35,22,1
13576,6,UNITED KINGDOM,1,20,329,18-35,27,1
15743,9,SINGAPORE,1,20,329,18-35,2,9
27062,25,BRUNEI DARUSSALAM,1,20,329,18-35,6,1
28273,29,THAILAND,1,20,329,18-35,0,9
29124,75,SINGAPORE,1,20,329,18-35,2,9
29187,88,SINGAPORE,1,20,329,18-35,2,9
29841,4,SINGAPORE,1,20,329,18-35,2,9
29955,2,THAILAND,1,20,329,18-35,0,9
30155,64,SINGAPORE,1,20,329,18-35,2,9
30157,17,SINGAPORE,1,20,329,18-35,2,9
30340,14,VIET NAM,1,20,329,18-35,23,2
30584,28,SINGAPORE,1,20,329,18-35,2,9
31127,61,UNITED STATES,1,20,329,18-35,14,4
31309,2,UNITED STATES,1,20,329,18-35,14,4
31427,8,MALAYSIA,1,20,329,18-35,1,2
31508,9,SINGAPORE,1,20,329,18-35,2,9
31617,21,UNITED STATES,1,20,329,18-35,14,4
33678,22,THAILAND,1,20,329,18-35,0,9
33679,22,THAILAND,1,20,329,18-35,0,9
33700,5,THAILAND,1,20,329,18-35,0,9
33733,44,INDONESIA,1,20,359,18-35,11,1
33874,5,MALAYSIA,1,20,359,18-35,1,4
34257,15,"KOREA, REPUBLIC OF",1,20,359,18-35,5,1
34659,30,JAPAN,1,20,359,18-35,15,1
34702,2,CAMBODIA,1,20,359,18-35,28,2
34951,72,THAILAND,1,20,359,18-35,0,9
35421,18,CHINA,1,20,359,18-35,3,1
36007,14,CANADA,1,20,359,18-35,21,2
36493,14,MALAYSIA,1,20,359,18-35,1,4
37047,52,THAILAND,1,20,359,18-35,0,9
37672,3,UNITED STATES,1,20,359,18-35,14,6
37694,7,CAMBODIA,1,20,359,18-35,28,2
38594,52,UNITED STATES,1,20,359,18-35,14,6
38749,19,UNITED STATES,1,20,359,18-35,14,6
39413,31,CANADA,1,20,359,18-35,21,2
40153,15,THAILAND,1,20,359,18-35,0,9
41365,87,UNITED STATES,1,20,359,18-35,14,6
41935,80,UNITED STATES,1,20,359,18-35,14,6
43619,4,MALAYSIA,1,20,359,18-35,1,4
44285,8,THAILAND,1,20,359,18-35,0,9
44611,18,SINGAPORE,1,20,359,18-35,2,2
45407,3,THAILAND,1,20,359,18-35,0,9
45478,4,MALAYSIA,1,20,359,18-35,1,4
46688,10,BRUNEI DARUSSALAM,1,20,359,18-35,6,1
46993,6,THAILAND,1,20,359,18-35,0,9
47456,74,UNITED STATES,1,20,359,18-35,14,6
47673,12,THAILAND,1,20,359,18-35,0,9
47674,12,THAILAND,1,20,359,18-35,0,9
47675,12,THAILAND,1,20,359,18-35,0,9
47677,21,SINGAPORE,1,20,359,18-35,2,2
47678,21,SINGAPORE,1,20,389,18-35,2,11
47679,21,SINGAPORE,1,20,389,18-35,2,11
47774,2,SINGAPORE,1,20,389,18-35,2,11
48100,70,HONG KONG,1,20,389,18-35,13,1
48197,80,MALAYSIA,1,20,389,18-35,1,1
48336,35,THAILAND,1,20,389,18-35,0,3
48458,4,SINGAPORE,1,20,389,18-35,2,11
48887,54,CANADA,1,20,389,18-35,21,4
49084,79,UNITED STATES,1,20,389,18-35,14,4
49714,48,BRUNEI DARUSSALAM,1,20,389,18-35,6,1
50023,38,NETHERLANDS,1,20,389,18-35,29,1
50448,2,VIET NAM,1,20,389,18-35,23,2
51060,54,CANADA,1,20,389,18-35,21,4
51066,72,SINGAPORE,1,20,389,18-35,2,11
51070,72,CANADA,1,20,389,18-35,21,4
51381,73,SINGAPORE,1,20,389,18-35,2,11
51950,15,THAILAND,1,20,389,18-35,0,3
52724,63,UNITED STATES,1,20,389,18-35,14,4
52888,70,SINGAPORE,1,20,389,18-35,2,11
53089,41,SINGAPORE,1,20,389,18-35,2,11
53220,53,UNITED STATES,1,20,389,18-35,14,4
53699,2,SINGAPORE,1,20,389,18-35,2,11
53880,31,THAILAND,1,20,389,18-35,0,3
54422,51,CANADA,1,20,389,18-35,21,4
54457,18,VIET NAM,1,20,389,18-35,23,2
54647,26,UNITED STATES,1,20,389,18-35,14,4
54895,27,SINGAPORE,1,20,389,18-35,2,11
55877,36,"TAIWAN, PROVINCE OF CHINA",1,20,389,18-35,16,1
56247,8,PHILIPPINES,1,20,389,18-35,8,1
57160,29,SINGAPORE,1,20,389,18-35,2,11
57203,35,UNITED STATES,1,20,419,18-35,14,3
57542,18,SINGAPORE,1,20,419,18-35,2,12
57602,45,UNITED STATES,1,20,419,18-35,14,3
57749,17,SINGAPORE,1,20,419,18-35,2,12
57956,51,CANADA,1,20,419,18-35,21,3
58277,36,"TAIWAN, PROVINCE OF CHINA",1,20,419,18-35,16,3
58301,61,THAILAND,1,20,419,18-35,0,4
58310,16,CANADA,1,20,419,18-35,21,3
58320,15,"TAIWAN, PROVINCE OF CHINA",1,20,419,18-35,16,3
58487,23,JAPAN,1,20,419,18-35,15,2
58548,16,SINGAPORE,1,20,419,18-35,2,12
58551,30,SINGAPORE,1,20,419,18-35,2,12
58904,10,SINGAPORE,1,20,419,18-35,2,12
58973,13,SINGAPORE,1,20,419,18-35,2,12
59789,19,CANADA,1,20,419,18-35,21,3
60194,9,SINGAPORE,1,20,419,18-35,2,12
60240,11,SINGAPORE,1,20,419,18-35,2,12
60411,9,SINGAPORE,1,20,419,18-35,2,12
60690,57,SINGAPORE,1,20,419,18-35,2,12
60801,29,INDONESIA,1,20,419,18-35,11,2
61128,17,MALAYSIA,1,20,419,18-35,1,2
61965,83,THAILAND,1,20,419,18-35,0,4
61966,83,THAILAND,1,20,419,18-35,0,4
61972,83,THAILAND,1,20,419,18-35,0,4
62082,2,INDONESIA,1,20,419,18-35,11,2
62185,64,UNITED STATES,1,20,419,18-35,14,3
62291,4,MALAYSIA,1,20,419,18-35,1,2
62572,79,SINGAPORE,1,20,419,18-35,2,12
62630,11,"TAIWAN, PROVINCE OF CHINA",1,20,419,18-35,16,3
62741,12,JAPAN,1,20,419,18-35,15,2
63049,9,SINGAPORE,1,20,419,18-35,2,12
94,5,INDONESIA,0,21,450,18-35,11,3
97,29,PHILIPPINES,0,21,450,18-35,8,1
187,59,MYANMAR,0,21,450,18-35,22,1
344,36,UNITED STATES,0,21,450,18-35,14,5
515,3,"KOREA, REPUBLIC OF",0,21,450,18-35,5,4
995,3,UNITED STATES,0,21,450,18-35,14,5
1326,35,THAILAND,0,21,450,18-35,0,3
1356,42,UNITED STATES,0,21,450,18-35,14,5
1485,85,UNITED STATES,0,21,450,18-35,14,5
2064,68,CHINA,0,21,450,18-35,3,2
2210,4,SINGAPORE,0,21,450,18-35,2,4
2517,58,"KOREA, REPUBLIC OF",0,21,450,18-35,5,4
2643,60,CHINA,0,21,450,18-35,3,2
3204,29,AUSTRALIA,0,21,450,18-35,9,1
3217,76,"KOREA, REPUBLIC OF",0,21,450,18-35,5,4
3255,26,MALAYSIA,0,21,450,18-35,1,2
3652,22,CANADA,0,21,450,18-35,21,1
3791,63,SINGAPORE,0,21,450,18-35,2,4
3862,47,UNITED STATES,0,21,450,18-35,14,5
4364,83,THAILAND,0,21,450,18-35,0,3
5235,10,THAILAND,0,21,450,18-35,0,3
5253,9,INDONESIA,0,21,450,18-35,11,3
5362,27,INDONESIA,0,21,450,18-35,11,3
5576,16,"KOREA, REPUBLIC OF",0,21,450,18-35,5,4
5747,32,SINGAPORE,0,21,450,18-35,2,4
5861,14,HONG KONG,0,21,450,18-35,13,1
8218,40,UNITED KINGDOM,0,21,450,18-35,27,1
8224,8,CAMBODIA,0,21,450,18-35,28,1
8654,23,MALAYSIA,0,21,450,18-35,1,2
9267,90,SINGAPORE,0,21,450,18-35,2,4
9642,61,CHINA,0,21,480,18-35,3,1
10363,85,THAILAND,0,21,480,18-35,0,3
10918,42,BRUNEI DARUSSALAM,0,21,480,18-35,6,1
11059,72,THAILAND,0,21,480,18-35,0,3
11799,23,HONG KONG,0,21,480,18-35,13,2
11805,49,"KOREA, REPUBLIC OF",0,21,480,18-35,5,2
11955,24,MYANMAR,0,21,480,18-35,22,1
12000,19,VIET NAM,0,21,480,18-35,23,1
13350,5,SINGAPORE,0,21,480,18-35,2,6
13378,67,JAMAICA,0,21,480,18-35,30,1
13858,18,CANADA,0,21,480,18-35,21,1
13890,52,JAPAN,0,21,480,18-35,15,2
14142,37,SINGAPORE,0,21,480,18-35,2,6
14384,10,JAPAN,0,21,480,18-35,15,2
14572,18,AUSTRALIA,0,21,480,18-35,9,1
14724,31,"TAIWAN, PROVINCE OF CHINA",0,21,480,18-35,16,1
14871,26,MALAYSIA,0,21,480,18-35,1,2
15067,72,INDIA,0,21,480,18-35,12,1
15106,75,THAILAND,0,21,480,18-35,0,3
15108,93,"KOREA, REPUBLIC OF",0,21,480,18-35,5,2
15636,42,HONG KONG,0,21,480,18-35,13,2
16079,47,SINGAPORE,0,21,480,18-35,2,6
16504,43,PERU,0,21,480,18-35,26,2
16523,42,PERU,0,21,480,18-35,26,2
16579,11,SINGAPORE,0,21,480,18-35,2,6
16670,7,INDONESIA,0,21,480,18-35,11,2
16675,24,MALAYSIA,0,21,480,18-35,1,2
16954,59,INDONESIA,0,21,480,18-35,11,2
17033,3,SINGAPORE,0,21,480,18-35,2,6
17123,25,SINGAPORE,0,21,480,18-35,2,6
17141,53,UNITED STATES,0,21,510,18-35,14,5
17482,6,MALAYSIA,0,21,510,18-35,1,4
17663,23,UNITED STATES,0,21,510,18-35,14,5
18294,74,"KOREA, REPUBLIC OF",0,21,510,18-35,5,3
18306,18,SINGAPORE,0,21,510,18-35,2,5
