,Duration,Destination,Gender,Age,userID,groupAge,destID
46242,92,CHINA,1,16,91,14-18,3
47195,71,THAILAND,1,16,91,14-18,0
48214,18,SINGAPORE,1,16,91,14-18,2
55684,5,INDONESIA,1,16,91,14-18,11
55715,15,SINGAPORE,1,16,91,14-18,2
58540,27,SINGAPORE,1,16,91,14-18,2
59373,8,SINGAPORE,1,16,91,14-18,2
63215,7,SINGAPORE,1,16,91,14-18,2
7265,11,SINGAPORE,0,17,104,14-18,2
20057,69,BRUNEI DARUSSALAM,0,17,104,14-18,6
25844,34,INDIA,0,17,104,14-18,12
30156,64,SINGAPORE,0,17,104,14-18,2
44727,58,HONG KONG,0,17,104,14-18,13
47143,62,THAILAND,0,17,104,14-18,0
47783,20,SINGAPORE,0,17,104,14-18,2
54674,28,UNITED STATES,0,17,104,14-18,14
54726,8,THAILAND,0,17,104,14-18,0
55726,9,SINGAPORE,0,17,104,14-18,2
56113,14,SINGAPORE,0,17,104,14-18,2
56446,27,THAILAND,0,17,104,14-18,0
56990,9,SINGAPORE,0,17,104,14-18,2
57510,9,THAILAND,0,17,104,14-18,0
59385,31,SINGAPORE,0,17,104,14-18,2
60226,72,JAPAN,0,17,104,14-18,15
39188,41,"KOREA, REPUBLIC OF",1,17,120,14-18,5
42025,70,MALAYSIA,1,17,120,14-18,1
47544,70,CHINA,1,17,120,14-18,3
48614,36,CHINA,1,17,120,14-18,3
48793,5,INDONESIA,1,17,120,14-18,11
58022,9,SINGAPORE,1,17,120,14-18,2
59840,18,SINGAPORE,1,17,120,14-18,2
60431,21,SINGAPORE,1,17,120,14-18,2
2198,86,"KOREA, REPUBLIC OF",0,18,128,18-35,5
10181,23,"KOREA, REPUBLIC OF",0,18,128,18-35,5
11638,39,MALAYSIA,0,18,128,18-35,1
11905,35,MALAYSIA,0,18,128,18-35,1
16755,83,BRUNEI DARUSSALAM,0,18,128,18-35,6
19840,56,BRUNEI DARUSSALAM,0,18,128,18-35,6
23927,51,CHINA,0,18,128,18-35,3
23928,51,CHINA,0,18,128,18-35,3
28326,10,SINGAPORE,0,18,128,18-35,2
33169,10,HONG KONG,0,18,128,18-35,13
36077,8,"TAIWAN, PROVINCE OF CHINA",0,18,128,18-35,16
41970,9,HONG KONG,0,18,128,18-35,13
46073,91,SINGAPORE,0,18,128,18-35,2
47590,14,SINGAPORE,0,18,128,18-35,2
54494,22,NEW ZEALAND,0,18,128,18-35,7
55730,27,SINGAPORE,0,18,128,18-35,2
56454,82,THAILAND,0,18,128,18-35,0
56659,7,THAILAND,0,18,128,18-35,0
60045,4,SINGAPORE,0,18,128,18-35,2
62362,7,"TAIWAN, PROVINCE OF CHINA",0,18,128,18-35,16
3291,76,AUSTRALIA,1,18,148,18-35,9
7084,21,THAILAND,1,18,148,18-35,0
15283,23,AUSTRALIA,1,18,148,18-35,9
22854,47,NEPAL,1,18,148,18-35,17
29410,20,"KOREA, REPUBLIC OF",1,18,148,18-35,5
33029,4,SINGAPORE,1,18,148,18-35,2
34929,30,SINGAPORE,1,18,148,18-35,2
36393,30,SINGAPORE,1,18,148,18-35,2
37904,34,CHINA,1,18,148,18-35,3
38235,47,BRUNEI DARUSSALAM,1,18,148,18-35,6
38236,34,BRUNEI DARUSSALAM,1,18,148,18-35,6
40534,14,HONG KONG,1,18,148,18-35,13
42819,6,SINGAPORE,1,18,148,18-35,2
43383,30,SINGAPORE,1,18,148,18-35,2
45549,5,SINGAPORE,1,18,148,18-35,2
55154,29,SINGAPORE,1,18,148,18-35,2
56076,15,THAILAND,1,18,148,18-35,0
56126,12,SINGAPORE,1,18,148,18-35,2
56840,17,MALAYSIA,1,18,148,18-35,1
59814,31,THAILAND,1,18,148,18-35,0
60010,5,THAILAND,1,18,148,18-35,0
60251,9,SINGAPORE,1,18,148,18-35,2
2514,31,"TAIWAN, PROVINCE OF CHINA",0,19,170,18-35,16
8039,79,MALAYSIA,0,19,170,18-35,1
9466,92,THAILAND,0,19,170,18-35,0
10580,14,SINGAPORE,0,19,170,18-35,2
20659,85,UNITED STATES,0,19,170,18-35,14
21657,62,BRUNEI DARUSSALAM,0,19,170,18-35,6
24552,42,SINGAPORE,0,19,170,18-35,2
25929,55,"KOREA, REPUBLIC OF",0,19,170,18-35,5
29591,22,THAILAND,0,19,170,18-35,0
33162,41,CHINA,0,19,170,18-35,3
34535,10,CHINA,0,19,170,18-35,3
37705,7,BRUNEI DARUSSALAM,0,19,170,18-35,6
38465,40,IRELAND,0,19,170,18-35,18
39166,76,HONG KONG,0,19,170,18-35,13
39442,27,JAPAN,0,19,170,18-35,15
40763,23,SINGAPORE,0,19,170,18-35,2
41999,26,THAILAND,0,19,170,18-35,0
42822,4,SINGAPORE,0,19,170,18-35,2
43000,17,"KOREA, REPUBLIC OF",0,19,170,18-35,5
47977,74,MALAYSIA,0,19,170,18-35,1
55562,33,SINGAPORE,0,19,170,18-35,2
55570,37,SINGAPORE,0,19,170,18-35,2
57346,55,SINGAPORE,0,19,170,18-35,2
57505,32,MALAYSIA,0,19,170,18-35,1
58788,5,SINGAPORE,0,19,170,18-35,2
60864,13,JAPAN,0,19,170,18-35,15
62575,48,SINGAPORE,0,19,170,18-35,2
63105,9,SINGAPORE,0,19,170,18-35,2
10358,87,THAILAND,1,19,198,18-35,0
21658,58,BRUNEI DARUSSALAM,1,19,198,18-35,6
24734,32,INDONESIA,1,19,198,18-35,11
25627,12,BRUNEI DARUSSALAM,1,19,198,18-35,6
28104,8,SINGAPORE,1,19,198,18-35,2
31435,44,SINGAPORE,1,19,198,18-35,2
34493,76,"KOREA, REPUBLIC OF",1,19,198,18-35,5
34533,56,INDONESIA,1,19,198,18-35,11
34534,2,ANGOLA,1,19,198,18-35,19
34536,2,BELARUS,1,19,198,18-35,20
36201,36,UNITED STATES,1,19,198,18-35,14
36679,39,CANADA,1,19,198,18-35,21
36861,61,UNITED STATES,1,19,198,18-35,14
38417,12,UNITED STATES,1,19,198,18-35,14
38491,42,SINGAPORE,1,19,198,18-35,2
39240,61,UNITED STATES,1,19,198,18-35,14
39256,33,SINGAPORE,1,19,198,18-35,2
41165,3,UNITED STATES,1,19,198,18-35,14
42213,75,SINGAPORE,1,19,198,18-35,2
42381,16,SINGAPORE,1,19,198,18-35,2
44006,40,BRUNEI DARUSSALAM,1,19,198,18-35,6
44007,11,BRUNEI DARUSSALAM,1,19,198,18-35,6
44108,50,THAILAND,1,19,198,18-35,0
44334,19,CANADA,1,19,198,18-35,21
44555,79,JAPAN,1,19,198,18-35,15
45049,47,MALAYSIA,1,19,198,18-35,1
45461,15,THAILAND,1,19,198,18-35,0
47162,62,THAILAND,1,19,198,18-35,0
47462,88,JAPAN,1,19,198,18-35,15
47775,66,SINGAPORE,1,19,198,18-35,2
47776,85,SINGAPORE,1,19,228,18-35,2
50165,30,MYANMAR,1,19,228,18-35,22
50685,32,BRUNEI DARUSSALAM,1,19,228,18-35,6
51563,65,VIET NAM,1,19,228,18-35,23
52477,65,SINGAPORE,1,19,228,18-35,2
52870,63,SINGAPORE,1,19,228,18-35,2
52882,83,SAUDI ARABIA,1,19,228,18-35,24
53709,6,SINGAPORE,1,19,228,18-35,2
54179,38,SINGAPORE,1,19,228,18-35,2
54732,23,THAILAND,1,19,228,18-35,0
54887,49,SINGAPORE,1,19,228,18-35,2
55331,22,INDIA,1,19,228,18-35,12
57493,18,CHINA,1,19,228,18-35,3
58180,14,THAILAND,1,19,228,18-35,0
58479,30,UNITED STATES,1,19,228,18-35,14
58848,9,"KOREA, REPUBLIC OF",1,19,228,18-35,5
58865,34,UNITED STATES,1,19,228,18-35,14
58961,5,SINGAPORE,1,19,228,18-35,2
58966,11,SINGAPORE,1,19,228,18-35,2
59585,11,THAILAND,1,19,228,18-35,0
61627,85,THAILAND,1,19,228,18-35,0
61744,2,MALAYSIA,1,19,228,18-35,1
62042,14,"KOREA, REPUBLIC OF",1,19,228,18-35,5
63069,8,SINGAPORE,1,19,228,18-35,2
41,36,"TAIWAN, PROVINCE OF CHINA",0,20,252,18-35,16
71,36,"TAIWAN, PROVINCE OF CHINA",0,20,252,18-35,16
351,27,HONG KONG,0,20,252,18-35,13
576,28,JAPAN,0,20,252,18-35,15
1042,7,THAILAND,0,20,252,18-35,0
1472,11,CANADA,0,20,252,18-35,21
2011,33,THAILAND,0,20,252,18-35,0
2408,75,UNITED STATES,0,20,252,18-35,14
2902,8,SINGAPORE,0,20,252,18-35,2
3854,18,MALAYSIA,0,20,252,18-35,1
4162,3,MALAYSIA,0,20,252,18-35,1
4441,47,SINGAPORE,0,20,252,18-35,2
5051,20,SINGAPORE,0,20,252,18-35,2
5054,17,PHILIPPINES,0,20,252,18-35,8
5192,4,UNITED STATES,0,20,252,18-35,14
5796,11,SINGAPORE,0,20,252,18-35,2
6034,46,INDONESIA,0,20,252,18-35,11
6558,29,AUSTRALIA,0,20,252,18-35,9
6567,14,SINGAPORE,0,20,252,18-35,2
7208,3,SINGAPORE,0,20,252,18-35,2
7286,4,MALAYSIA,0,20,252,18-35,1
7596,6,PHILIPPINES,0,20,252,18-35,8
7784,47,SINGAPORE,0,20,252,18-35,2
8063,21,UNITED STATES,0,20,252,18-35,14
8113,33,SINGAPORE,0,20,252,18-35,2
9779,13,MALAYSIA,0,20,252,18-35,1
9992,5,CANADA,0,20,252,18-35,21
10745,14,AUSTRALIA,0,20,252,18-35,9
10806,16,THAILAND,0,20,252,18-35,0
11520,2,MEXICO,0,20,252,18-35,25
12324,5,INDONESIA,0,20,282,18-35,11
13611,30,INDONESIA,0,20,282,18-35,11
14642,78,THAILAND,0,20,282,18-35,0
15642,25,SINGAPORE,0,20,282,18-35,2
16060,9,THAILAND,0,20,282,18-35,0
16258,88,UNITED STATES,0,20,282,18-35,14
16495,8,PERU,0,20,282,18-35,26
17863,9,INDONESIA,0,20,282,18-35,11
17892,35,UNITED STATES,0,20,282,18-35,14
18901,21,INDONESIA,0,20,282,18-35,11
19578,7,THAILAND,0,20,282,18-35,0
19654,7,SINGAPORE,0,20,282,18-35,2
19711,6,SINGAPORE,0,20,282,18-35,2
19761,13,MALAYSIA,0,20,282,18-35,1
19824,39,PHILIPPINES,0,20,282,18-35,8
20930,61,SINGAPORE,0,20,282,18-35,2
21595,82,UNITED STATES,0,20,282,18-35,14
21640,2,SINGAPORE,0,20,282,18-35,2
21831,72,JAPAN,0,20,282,18-35,15
21854,25,THAILAND,0,20,282,18-35,0
22063,18,HONG KONG,0,20,282,18-35,13
23333,36,SINGAPORE,0,20,282,18-35,2
25055,49,UNITED STATES,0,20,282,18-35,14
26772,28,UNITED STATES,0,20,282,18-35,14
27732,70,UNITED KINGDOM,0,20,282,18-35,27
28193,34,THAILAND,0,20,282,18-35,0
28908,44,AUSTRALIA,0,20,282,18-35,9
28910,73,CANADA,0,20,282,18-35,21
31039,19,SINGAPORE,0,20,282,18-35,2
32032,16,SINGAPORE,0,20,282,18-35,2
32204,17,SINGAPORE,0,20,312,18-35,2
40061,55,SINGAPORE,0,20,312,18-35,2
42188,8,SINGAPORE,0,20,312,18-35,2
44938,83,SINGAPORE,0,20,312,18-35,2
45304,85,THAILAND,0,20,312,18-35,0
45695,26,CHINA,0,20,312,18-35,3
47160,62,THAILAND,0,20,312,18-35,0
53749,42,BRUNEI DARUSSALAM,0,20,312,18-35,6
54210,72,SINGAPORE,0,20,312,18-35,2
55151,34,THAILAND,0,20,312,18-35,0
56847,25,THAILAND,0,20,312,18-35,0
58780,7,SINGAPORE,0,20,312,18-35,2
59557,30,SINGAPORE,0,20,312,18-35,2
60383,72,BRUNEI DARUSSALAM,0,20,312,18-35,6
61626,85,THAILAND,0,20,312,18-35,0
61963,83,THAILAND,0,20,312,18-35,0
62793,11,SINGAPORE,0,20,312,18-35,2
3051,45,UNITED STATES,1,20,329,18-35,14
3583,8,MALAYSIA,1,20,329,18-35,1
3917,56,THAILAND,1,20,329,18-35,0
3918,56,THAILAND,1,20,329,18-35,0
4182,55,THAILAND,1,20,329,18-35,0
4183,55,THAILAND,1,20,329,18-35,0
5434,24,SINGAPORE,1,20,329,18-35,2
6173,32,"TAIWAN, PROVINCE OF CHINA",1,20,329,18-35,16
7457,11,VIET NAM,1,20,329,18-35,23
9254,40,MYANMAR,1,20,329,18-35,22
13576,6,UNITED KINGDOM,1,20,329,18-35,27
15743,9,SINGAPORE,1,20,329,18-35,2
27062,25,BRUNEI DARUSSALAM,1,20,329,18-35,6
28273,29,THAILAND,1,20,329,18-35,0
29124,75,SINGAPORE,1,20,329,18-35,2
29187,88,SINGAPORE,1,20,329,18-35,2
29841,4,SINGAPORE,1,20,329,18-35,2
29955,2,THAILAND,1,20,329,18-35,0
30155,64,SINGAPORE,1,20,329,18-35,2
30157,17,SINGAPORE,1,20,329,18-35,2
30340,14,VIET NAM,1,20,329,18-35,23
30584,28,SINGAPORE,1,20,329,18-35,2
31127,61,UNITED STATES,1,20,329,18-35,14
31309,2,UNITED STATES,1,20,329,18-35,14
31427,8,MALAYSIA,1,20,329,18-35,1
31508,9,SINGAPORE,1,20,329,18-35,2
31617,21,UNITED STATES,1,20,329,18-35,14
33678,22,THAILAND,1,20,329,18-35,0
33679,22,THAILAND,1,20,329,18-35,0
33700,5,THAILAND,1,20,329,18-35,0
33733,44,INDONESIA,1,20,359,18-35,11
33874,5,MALAYSIA,1,20,359,18-35,1
34257,15,"KOREA, REPUBLIC OF",1,20,359,18-35,5
34659,30,JAPAN,1,20,359,18-35,15
34702,2,CAMBODIA,1,20,359,18-35,28
34951,72,THAILAND,1,20,359,18-35,0
35421,18,CHINA,1,20,359,18-35,3
36007,14,CANADA,1,20,359,18-35,21
36493,14,MALAYSIA,1,20,359,18-35,1
37047,52,THAILAND,1,20,359,18-35,0
37672,3,UNITED STATES,1,20,359,18-35,14
37694,7,CAMBODIA,1,20,359,18-35,28
38594,52,UNITED STATES,1,20,359,18-35,14
38749,19,UNITED STATES,1,20,359,18-35,14
39413,31,CANADA,1,20,359,18-35,21
40153,15,THAILAND,1,20,359,18-35,0
41365,87,UNITED STATES,1,20,359,18-35,14
41935,80,UNITED STATES,1,20,359,18-35,14
43619,4,MALAYSIA,1,20,359,18-35,1
44285,8,THAILAND,1,20,359,18-35,0
44611,18,SINGAPORE,1,20,359,18-35,2
45407,3,THAILAND,1,20,359,18-35,0
45478,4,MALAYSIA,1,20,359,18-35,1
46688,10,BRUNEI DARUSSALAM,1,20,359,18-35,6
46993,6,THAILAND,1,20,359,18-35,0
47456,74,UNITED STATES,1,20,359,18-35,14
47673,12,THAILAND,1,20,359,18-35,0
47674,12,THAILAND,1,20,359,18-35,0
47675,12,THAILAND,1,20,359,18-35,0
47677,21,SINGAPORE,1,20,359,18-35,2
47678,21,SINGAPORE,1,20,389,18-35,2
47679,21,SINGAPORE,1,20,389,18-35,2
47774,2,SINGAPORE,1,20,389,18-35,2
48100,70,HONG KONG,1,20,389,18-35,13
48197,80,MALAYSIA,1,20,389,18-35,1
48336,35,THAILAND,1,20,389,18-35,0
48458,4,SINGAPORE,1,20,389,18-35,2
48887,54,CANADA,1,20,389,18-35,21
49084,79,UNITED STATES,1,20,389,18-35,14
49714,48,BRUNEI DARUSSALAM,1,20,389,18-35,6
50023,38,NETHERLANDS,1,20,389,18-35,29
50448,2,VIET NAM,1,20,389,18-35,23
51060,54,CANADA,1,20,389,18-35,21
51066,72,SINGAPORE,1,20,389,18-35,2
51070,72,CANADA,1,20,389,18-35,21
51381,73,SINGAPORE,1,20,389,18-35,2
51950,15,THAILAND,1,20,389,18-35,0
52724,63,UNITED STATES,1,20,389,18-35,14
52888,70,SINGAPORE,1,20,389,18-35,2
53089,41,SINGAPORE,1,20,389,18-35,2
53220,53,UNITED STATES,1,20,389,18-35,14
53699,2,SINGAPORE,1,20,389,18-35,2
53880,31,THAILAND,1,20,389,18-35,0
54422,51,CANADA,1,20,389,18-35,21
54457,18,VIET NAM,1,20,389,18-35,23
54647,26,UNITED STATES,1,20,389,18-35,14
54895,27,SINGAPORE,1,20,389,18-35,2
55877,36,"TAIWAN, PROVINCE OF CHINA",1,20,389,18-35,16
56247,8,PHILIPPINES,1,20,389,18-35,8
57160,29,SINGAPORE,1,20,389,18-35,2
57203,35,UNITED STATES,1,20,419,18-35,14
57542,18,SINGAPORE,1,20,419,18-35,2
57602,45,UNITED STATES,1,20,419,18-35,14
57749,17,SINGAPORE,1,20,419,18-35,2
57956,51,CANADA,1,20,419,18-35,21
58277,36,"TAIWAN, PROVINCE OF CHINA",1,20,419,18-35,16
58301,61,THAILAND,1,20,419,18-35,0
58310,16,CANADA,1,20,419,18-35,21
58320,15,"TAIWAN, PROVINCE OF CHINA",1,20,419,18-35,16
58487,23,JAPAN,1,20,419,18-35,15
58548,16,SINGAPORE,1,20,419,18-35,2
58551,30,SINGAPORE,1,20,419,18-35,2
58904,10,SINGAPORE,1,20,419,18-35,2
58973,13,SINGAPORE,1,20,419,18-35,2
59789,19,CANADA,1,20,419,18-35,21
60194,9,SINGAPORE,1,20,419,18-35,2
60240,11,SINGAPORE,1,20,419,18-35,2
60411,9,SINGAPORE,1,20,419,18-35,2
60690,57,SINGAPORE,1,20,419,18-35,2
60801,29,INDONESIA,1,20,419,18-35,11
61128,17,MALAYSIA,1,20,419,18-35,1
61965,83,THAILAND,1,20,419,18-35,0
61966,83,THAILAND,1,20,419,18-35,0
61972,83,THAILAND,1,20,419,18-35,0
62082,2,INDONESIA,1,20,419,18-35,11
62185,64,UNITED STATES,1,20,419,18-35,14
62291,4,MALAYSIA,1,20,419,18-35,1
62572,79,SINGAPORE,1,20,419,18-35,2
62630,11,"TAIWAN, PROVINCE OF CHINA",1,20,419,18-35,16
62741,12,JAPAN,1,20,419,18-35,15
63049,9,SINGAPORE,1,20,419,18-35,2
94,5,INDONESIA,0,21,450,18-35,11
97,29,PHILIPPINES,0,21,450,18-35,8
187,59,MYANMAR,0,21,450,18-35,22
344,36,UNITED STATES,0,21,450,18-35,14
515,3,"KOREA, REPUBLIC OF",0,21,450,18-35,5
995,3,UNITED STATES,0,21,450,18-35,14
1326,35,THAILAND,0,21,450,18-35,0
1356,42,UNITED STATES,0,21,450,18-35,14
1485,85,UNITED STATES,0,21,450,18-35,14
2064,68,CHINA,0,21,450,18-35,3
2210,4,SINGAPORE,0,21,450,18-35,2
2517,58,"KOREA, REPUBLIC OF",0,21,450,18-35,5
2643,60,CHINA,0,21,450,18-35,3
3204,29,AUSTRALIA,0,21,450,18-35,9
3217,76,"KOREA, REPUBLIC OF",0,21,450,18-35,5
3255,26,MALAYSIA,0,21,450,18-35,1
3652,22,CANADA,0,21,450,18-35,21
3791,63,SINGAPORE,0,21,450,18-35,2
3862,47,UNITED STATES,0,21,450,18-35,14
4364,83,THAILAND,0,21,450,18-35,0
5235,10,THAILAND,0,21,450,18-35,0
5253,9,INDONESIA,0,21,450,18-35,11
5362,27,INDONESIA,0,21,450,18-35,11
5576,16,"KOREA, REPUBLIC OF",0,21,450,18-35,5
5747,32,SINGAPORE,0,21,450,18-35,2
5861,14,HONG KONG,0,21,450,18-35,13
8218,40,UNITED KINGDOM,0,21,450,18-35,27
8224,8,CAMBODIA,0,21,450,18-35,28
8654,23,MALAYSIA,0,21,450,18-35,1
9267,90,SINGAPORE,0,21,450,18-35,2
9642,61,CHINA,0,21,480,18-35,3
10363,85,THAILAND,0,21,480,18-35,0
10918,42,BRUNEI DARUSSALAM,0,21,480,18-35,6
11059,72,THAILAND,0,21,480,18-35,0
11799,23,HONG KONG,0,21,480,18-35,13
11805,49,"KOREA, REPUBLIC OF",0,21,480,18-35,5
11955,24,MYANMAR,0,21,480,18-35,22
12000,19,VIET NAM,0,21,480,18-35,23
13350,5,SINGAPORE,0,21,480,18-35,2
13378,67,JAMAICA,0,21,480,18-35,30
13858,18,CANADA,0,21,480,18-35,21
13890,52,JAPAN,0,21,480,18-35,15
14142,37,SINGAPORE,0,21,480,18-35,2
14384,10,JAPAN,0,21,480,18-35,15
14572,18,AUSTRALIA,0,21,480,18-35,9
14724,31,"TAIWAN, PROVINCE OF CHINA",0,21,480,18-35,16
14871,26,MALAYSIA,0,21,480,18-35,1
15067,72,INDIA,0,21,480,18-35,12
15106,75,THAILAND,0,21,480,18-35,0
15108,93,"KOREA, REPUBLIC OF",0,21,480,18-35,5
15636,42,HONG KONG,0,21,480,18-35,13
16079,47,SINGAPORE,0,21,480,18-35,2
16504,43,PERU,0,21,480,18-35,26
16523,42,PERU,0,21,480,18-35,26
16579,11,SINGAPORE,0,21,480,18-35,2
16670,7,INDONESIA,0,21,480,18-35,11
16675,24,MALAYSIA,0,21,480,18-35,1
16954,59,INDONESIA,0,21,480,18-35,11
17033,3,SINGAPORE,0,21,480,18-35,2
17123,25,SINGAPORE,0,21,480,18-35,2
17141,53,UNITED STATES,0,21,510,18-35,14
17482,6,MALAYSIA,0,21,510,18-35,1
17663,23,UNITED STATES,0,21,510,18-35,14
18294,74,"KOREA, REPUBLIC OF",0,21,510,18-35,5
18306,18,SINGAPORE,0,21,510,18-35,2
18472,39,MALAYSIA,0,21,510,18-35,1
19159,3,SINGAPORE,0,21,510,18-35,2
19424,29,HONG KONG,0,21,510,18-35,13
20071,70,HONG KONG,0,21,510,18-35,13
20606,29,THAILAND,0,21,510,18-35,0
20852,86,HONG KONG,0,21,510,18-35,13
20895,27,UNITED STATES,0,21,510,18-35,14
21396,22,INDIA,0,21,510,18-35,12
21522,29,"KOREA, REPUBLIC OF",0,21,510,18-35,5
22207,16,THAILAND,0,21,510,18-35,0
22250,13,MALAYSIA,0,21,510,18-35,1
22255,58,MALAYSIA,0,21,510,18-35,1
22308,3,THAILAND,0,21,510,18-35,0
22397,12,UNITED STATES,0,21,510,18-35,14
22428,30,SINGAPORE,0,21,510,18-35,2
22438,75,INDONESIA,0,21,510,18-35,11
22522,81,CANADA,0,21,510,18-35,21
22528,31,INDONESIA,0,21,510,18-35,11
22801,35,SINGAPORE,0,21,510,18-35,2
22954,40,INDONESIA,0,21,510,18-35,11
23702,18,THAILAND,0,21,510,18-35,0
23704,18,THAILAND,0,21,510,18-35,0
23873,29,SINGAPORE,0,21,510,18-35,2
24063,38,"KOREA, REPUBLIC OF",0,21,510,18-35,5
24308,5,UNITED STATES,0,21,510,18-35,14
25249,15,"KOREA, REPUBLIC OF",0,21,540,18-35,5
25776,59,UNITED STATES,0,21,540,18-35,14
26257,42,"KOREA, REPUBLIC OF",0,21,540,18-35,5
26307,39,CANADA,0,21,540,18-35,21
26427,13,CANADA,0,21,540,18-35,21
27354,57,JAPAN,0,21,540,18-35,15
27577,17,THAILAND,0,21,540,18-35,0
27685,64,CANADA,0,21,540,18-35,21
27708,21,INDONESIA,0,21,540,18-35,11
29046,5,THAILAND,0,21,540,18-35,0
29252,87,SINGAPORE,0,21,540,18-35,2
29634,35,SINGAPORE,0,21,540,18-35,2
30287,53,SINGAPORE,0,21,540,18-35,2
30477,36,SINGAPORE,0,21,540,18-35,2
33212,9,SINGAPORE,0,21,540,18-35,2
33429,7,SINGAPORE,0,21,540,18-35,2
